id,title,commemorating,date_of_incident,description,inscription,address,location_guide,map_grid_ref,previous_location,nature,physical_type,physical_materials,setting,access,post_unveiling,commissioned_by,artist(s),date_unveiled,comments,gps_x,gps_y
425,Hunger Strike Plaque (Newington Avenue),"The 10 republican hunger strikers who died in 1981, plus two other republican hunger strikers who died in 1974 and 1976.
 Person(s) commemorated",03 June 1974,Medium-sized rectangular-shaped stone plaque containing an inscription and four flags of the provinces of Ireland.,This plaque was errected by | etc,"Newington Avenue, Newington (Greater), Water Works, Belfast North,  County Antrim, Northern Ireland. BT15 2HP",At the junction of Newington Avenue and Atlantic Avenue. Not far from the junction of Antrim Road and Limestone Road.,IJ333761,,"Paramilitary, Republican, IRA, INLA",Plaque,Stone Marble,Street,Public Unrestricted,,Newington 1981 Committee,,,,54.616158369916114,-5.936083460957854
426,'Building an Ireland of Equals' Mural (Oceanic Avenue),"Republicans from 1798; includes portrait of Hunger Striker Bobby Sands.
 Person(s) commemorated",05 May 1981,Large mural painted on gable wall of house. Part of the building is used as a Sinn Fein office.,BUILDING AN IRELAND OF EQUALS | etc,"Oceanic Avenue, Newington (Greater), Water Works, Belfast North,  County Antrim, Northern Ireland. BT15 2HT",At the junction of Oceanic Avenue and Antrim Road. Close to the junction of Antrim Road and Limestone Road.,IJ332763,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Public Unrestricted,,,,,,54.61736629712051,-5.937895645066993
427,Savage Memorial ? - (nvtd),Person(s) commemorated,,,,"Stanhope Drive, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT13 1B??",,IJ335750,,"Paramilitary, Republican, IRA",Mural,,Street,,,,,2001,,54.60545063775185,-5.935170564903859
431,BlackTaxi Mural (Ardoyne Avenue),"Eight members of the 'Black Taxi' association who were killed as they worked. Michael Duggan 12/11/75; Harry Muldoon 31/10/84; Patsy McAllister 26/8/86; Caoimhin Mac Bradaigh 16/3/88; Thomas Hughes 19/7/91; Hugh Magee 10/10/91; Padraig Ó Cleirigh; 2/2/92; Jim Green 5/5/77.
 Person(s) commemorated",12 November 1975,Large mural painted on gable wall of house. Depicts a black taxi and includes a 'Roll of Honour' on which is a list of eight taxi drivers who were killed.,This mural honours | Black Taxi drivers who | were murdered in this conflict | etc,"Ardoyne Avenue, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7DA",At the junction of Ardoyne Avenue and Havana Way.,IJ321760,,Civilian,Mural,Paint,Street,Private Restricted (viewable from street),,,,,,54.61488748228117,-5.955963822863745
432,Republican Activists Mural and Memorial Stone (Ardoyne Avenue),"IRA members and Republican activists from the local area who were killed in the conflict. Portraits of 38 Republicans of whom 36 are listed as IRA Volunteers.
 Person(s) commemorated",,Large mural painted on gable wall of house; incorporating 38 individual portraits; memorial stone in front of mural on right-hand side.,"Inscriptions on the mural, including names of people killed, and on each of the two plaques.","Ardoyne Avenue, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7DA",At junction of Ardoyne Avenue and Flax Street.,IJ320760,,"Paramilitary, Republican, IRA and Political Activists","Mural, and Memorial Stone","Paint, Stone Granite, Metal",Street,Private restricted (viewable from street),,Amach agus Isteach (Republican ex-prisoner group),,September 2003,# Information on persons killed to be added later #,54.61497689928774,-5.956470220697028
433,Larry Marley Plaque,"IRA member Larry Marley.
 Person(s) commemorated",03 April 1987,Rectangular-shaped stone plaque attached to gable wall of house on which is painted a large mural.,THIS PLAQUE IS DEDICATED TO | etc,"Ardoyne Avenue, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7DA",Close to the junction of Ardoyne Avenue and Havana Gardens.,IJ321760,,"Paramilitary, Republican, IRA",Plaque,Stone Marble,Street,Public Unrestricted,,,,,,54.614977178406335,-5.9548911178310915
435,Garden of Remembrance (Berwick Road),"IRA members, political activists and civilians from the Ardoyne, Bone and Ligoneil areas who died in the conflict.
 Person(s) commemorated",,"Small memorial garden at the side of a house. Contains a Celtic cross, a plaque on the gable wall of the house and a flagepole; within a low wall with railings and a gate.",,"Berwick Road, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7JP",Junction of Berwich Road and Brompton Park.,IJ318759,,"Paramilitary, Republican, IRA, Political Activist, Sinn Fein, and Civilian",Memorial Garden,"Stone Granite, marble",Street,Public Unrestricted,,,,20 April 1976,"Unveilled by Nora Connolly O'Brien, daughter of James Connolly, on Easter Tuesday 1976.",54.6149026711373,-5.960591948070658
436,Lawrence and Hamill Mural,"Robert Hamill who was killed in 1997, and Stephen Lawrence who was killed in London in 1993
 Person(s) commemorated",08 May 1997,Mural featuring Stephen Lawrence and Robert Hamill.,LONDON METREPOLITAN POLICE INSTITIONALISED RACISM | ROYAL ULSTER CONSTABULARY INSTITUTIONALISED SECTARIANISM | Stephen Lawrence | Robert Hamill,"Brompton Park, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7L??",Junction of Brompton Park and Flax Street.,IJ320760,,Civilian,Mural,"Paint, Wood",Street,Public Unrestricted,,,,,Mural drawing similarites between the police response to the killing of Stephen Lawrence in 1993 and Robert Hamill in 1997.,54.615269920942566,-5.956796120851645
437,Danny Barrett Plaque - (nvtd),"Danny Barrett who was shot dead by a Britiish soldier.
 Person(s) commemorated",09 July 1981,Rectangular-shaped stone plaque,This Plaque is dedicated to the memory of | DANNY BARRETT | etc,"Havana Court, Havana Way, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7QL",,IJ321761,,Civilian,Plaque,Stone marble,Street,Public Unrestricted,,Friends,,,,54.61577963730728,-5.956120345160418
438,Hunger Strike Mural (Oldpark Road),"The 10 republicans who died on hunger strike in1981.
 Person(s) commemorated",05 May 1981,Large mural painted on wooden panels affixed to wall. Mural incorporating portraits of the 10 republicans who died on hunger strike in1981. The wall forms part of the peace line in this part of north Belfast. Wall and mural is behind a low wall and metal fence.,Short inscription on mural.,"Oldpark Road, Oldpark, Belfast North,  County Antrim, Northern Ireland. BT14 6Q??",Close to the junction of Oldpark Road and Ardoyne Avenue.,IJ324761,,"Paramilitary, Republican, IRA",Mural,"Paint, Wood",Street,Private restricted (viewable from street),Mural has deteriorated and been damaged.,,,,,54.61586729116485,-5.951208280218727
439,UDA Memorial Garden - (nvtd),"UDA members.
 Person(s) commemorated",,"Medium-sized memorial garden surrounded with low wall, railings and gates;",,"Brae Hill Park, Ballysillan, Belfast North,  County Antrim, Northern Ireland. BT14 8FP",At junction of Brae Hill Park and Brae Hill Way. 309773,IJ309775,,"Paramilitary, Loyalist, UDA, UFF","Memorial Stone, and Plaque","Stone Marble Granite, Brick, hard landscaping, planting.",Garden,Public Unrestricted,,UDA/UFF,,10 June 2004,Ballysillan Garden Project.,54.628514347337095,-5.973399286190143
440,UDA Memorial (Ballysillan) ? - (nvtd),Person(s) commemorated,,,,"Brae Hill, Ballysillan, Belfast North,  County Antrim, Northern Ireland. BT14 8F??",,IJ309775,,"Paramilitary, Loyalist, UDA, UFF",Memorial Stone,,Street,,,UDA/UFF,,2005,,54.628514347337095,-5.973399286190143
441,Hunger Strike Plaque (Louisa Court),"The 10 republicans who died on hunger strike in 1981.
 Person(s) commemorated",,Rectangular-shaped stone plaque.,Dedication and names of Hunger Strikers together with dates of death and number of days fasting.,"Louisa Court, Ardilea Street, Bone, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7DF",At the junction of Louisa Court and Ardilea Street. Close to the junction of Ardilea Street and Oldpark Road.,IJ324760,,"Paramilitary, Republican, IRA, INLA",Plaque,Stone marble,Street,Public Unrestricted,,Oldpark 1981 Committee,,,,54.615179514129366,-5.950917740954785
442,Conflict Memorial (Louisa Court),"All those from the area who were killed in the conflict.
 Person(s) commemorated",06 February 1971,"Small memorial located next to the gable wall of a house.  Contains a Celtic cross, a statue of Christ in a glass box, and a medium-sized plaque attached to the wall. Enclosed within a low wall topped with railings.",Various inscriptions on plaque and plinth of the Celtic cross,"Louisa Court, Ardilea Street, Bone, Ardoyne, Belfast North,  County Antrim, Northern Ireland. BT14 7DF",At the junction of Louisa Court and Ardilea Street. Close to the junction of Ardilea Street and Oldpark Road.,IJ324760,,"Civilian, and Paramilitary",Memorial Enclosure,"Stone Marble, Granite, Metal Iron",Street,Private Restricted (viewable from street),An ealier version of the main plaque rests on the ground. It was presumably damaged in an attack and then replaced with the current copy.,,,,,54.615179514129366,-5.950917740954785
443,Carrick Hill Memorial Garden,"People from the Unity Flats area who died in the conflict. Also commemorates Republican political activists who died from natural causes.
 Person(s) commemorated",26 November 1969,Small memorial garden comprised of Celtic cross on stone plinth on raised platform; also includes large plaque attached to wall and a flagepole; also some plants and hard landscaping. Garden is enclosed with a wall and railings.,Inscriptions on plinth and plaque.,"Plunkett Court, Carrick Hill, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT13 1AZ",From Carrick Hill road turn into Lower Regent Street then left into Plunkett Court; turn left again to find memorial. On foot it is possible to walk through an alley directly from Carrick Hill road to Plunkett Court.,IJ336749,,"Civilian, Political Activists, and Paramilitary, Republican, IRA",Memorial Garden,"Stone Granite, marble, metal pole, plants",Street,Public Restricted (gates were locked with chains at time of visit),,,,,,54.604900126244424,-5.9339757181225385
444,Bloody Friday Plaque,"Those who were killed and injured on Bloody Friday, 21st July 1972; and also ""innocent victims of terrorism"".
 Person(s) commemorated",21 July 1972,Brass plaque in a wooden frame,Single inscription.,"Belfast City Hall, Donegal Square North, Belfast North,  County Antrim, Northern Ireland. BT1 5GB",,IJ338741,,Civilian,Plaque,"Metal Brass, Wood",Building Interior,Private Restricted,,,,18 April 2000,,54.597242749328885,-5.930696112032838
445,Ligoniel Memorial,"Local people who were killed in the conflict.
 Person(s) commemorated",,Small memorial at the gable end of a house. Comprises a Celtic cross and a plaque with a flagpole. Also depictions of the flags of the four provinces of Ireland. Enclosed behind a low wall and railings.,Several inscriptions on plaques and the memorial stone.,"Wolfend Road, Ligoniel, Belfast North,  County Antrim, Northern Ireland. BT14 ??",Close to the junction of Wolfend Road and Wolfend Drive.,IJ305774,,"Civilian, and Paramilitary","Other, Cross, Celtic Cross","Stone Granite, marble,",Street,Public Restricted (viewable from the street),,,,,,54.62835443842329,-5.979957937138783
446,New Lodge Garden of Remembrance,"IRA members and local people who were killed in the conflict.
 Person(s) commemorated",,"Medium-sized memorial garden enclosed by wall, railings and gates. Garden contains a number of large plaques. Central element is a free-standing wall, opposite the gate, which is covered in plaques. On the rear boundary wall are two plaques which contain photographs of people killed. There are also two benches.",Numorous inscriptions on stone plaques.,"Donore Court, off New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2EZ",Not far from the junction of Donore Court and New Lodge Road.,IJ335757,,"Civilian, and Paramilitary, Republican, IRA",Memorial Garden,"Stone Marble, Metal Iron, Hard Landscaping, Plants",Street,Public Unrestricted (gate unlocked),,,,,# names of people commemorated to be added later #,54.61169854121629,-5.934838646115907
448,New Lodge Six Plaque and Mural,"Six men killed by Loyalists and British Army during the night of 3rd and 4th February 1973. The men became known as the 'New Lodge Six'.
 Person(s) commemorated",03 February 1973,Large mural painted on wooden panels attached to a gable wall of a house; also a rectangular-shaped metal plaque.,Inscription on mural and on plaque.,"Donore Court, off New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2EZ",At junction of Donore Court and New Lodge Road. The plaque is fixed to the wall with the 'New Lodge Six' mural. 334757,IJ334757,,Civilian,"Plaque, and Mural","Paint, Wood, Metal Brass",Street,Private Restricted (viewable from the street),,,,,,54.61198211748596,-5.934607558081205
450,Hunger Strike Mural (New Lodge Road),"The ten Republican Hunger Strikers who died in 1981.
 Person(s) commemorated",05 May 1981,Large mural painted on gable wall of a maisonnette.,Names of the ten Hunger Strikers.,"New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2??",Close to the junction of New Lodge Road and Duncairn Parade.,IJ337755,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Private Restricted (viewable from the street),,,,1997,,54.61001422297524,-5.931441088428179
454,'Free The POWs' Mural (New Lodge Road),"Republican prisoners and Mairead Farrell.
 Person(s) commemorated",06 March 1988,Large mural painted on gable wall of house.,FREE THE POWS | etc,"New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2??",At junction of New Lodge Road and Lepper Street.,IJ337755,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Public Unrestricted,,,,,,54.61001422297524,-5.931441088428179
455,Hunger Striker Murals (New Lodge Flats),"The ten Republican Hunger Strikers who died in 1981.
 Person(s) commemorated",21 May 1981,"Individual portraits, with name of individual, painted on top of the high-rise flats.",Name of each person.,"Duncairn Parade, off New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2??",On top of each of the six high rise flats in the New Lodge. Centered around Queen's Parade. Partially viewable from street level.,IJ337755,,"Paramilitary, Republican, INLA",Mural,Paint,Building Exterior,Private Restricted (partially viewable from street level),,,,2006,"Although all the Hunger Strikers feature in separate murals, only one of the portraits was photographed. The murals were painted to commemorated the 25th anniversary of the Hunger Strike.",54.61001422297524,-5.931441088428179
456,IRA Mural (New Lodge Road),"Members of the IRA's 3rd Battalion and other members of the Republican Movement from the area killed in the conflict.
 Person(s) commemorated",,Large mural painted on wooden panels affixed to gable wall of house.,,"New Lodge Road, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 2??",Close to the junction of New Lodge Road and Duncairn Parade.,IJ337755,,"Paramilitary, Republican, IRA",Mural,"Paint, Wood",Street,Private Restricted (viewable from the street),The paint deteriorated and later some of the panels were removed.,,,,It is likely that the mural will be removed completely sometime in 2009. No information on whether or not it will be replaced.,54.61042317897299,-5.930135530846512
457,McGurk's Bar Plaque,"The 15 people killed and those injured in the bombing of McGurk's Bar.
 Person(s) commemorated",04 December 1971,Rectangular-shaped stone plaque,"TO THE MEMORY OF FIFTEEN INNOCENT CIVILIANS | MURDERED BY A PRO-BRITISH LOYALIST GANG | IN A NO WARNING BOMB ATTACK ON | MCGURK'S BAR DEC 4th 1971, 
| PHILOMENA MCGURK | etc","North Queen Street, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 ??","Junction of North Queen Street and Great Georges Street. Sited under a road flyover, just around the corner from the McGurk's monument.",IJ334752,,Civilian,Plaque,Stone Marble,Street,Public Unrestricted,,,,1 December 1996,"Plaque unveiled by Sarah Webb, whose father Francis Bradley died in the explosion. Main speakers at the unveiling ceremony: Sinn Féin councillors Bobby Lavery and Paddy McManus.",54.60730201448129,-5.930464240963022
458,McGurk's Bar Memorial,"The 15 people killed and those injured in the bombing of McGurk's Bar.
 Person(s) commemorated",04 December 1971,Stone Celtic cross on double plinth with inscription. Cross situated within protective metal railings.,"Dedication on the upper plinth of the Celtic cross, with the list of names on the lower plinth.","Great Georges Street, North Queen Street, New Lodge, Belfast North,  County Antrim, Northern Ireland. BT15 1BP",At the junction of Great Georges Street and North Queen Street.,IJ337752,,Civilian,"Other, Cross",Stone Granite Cross; Metal Iron,Street,Public Unrestricted,,The family of Kathleen Irvine with the consent of all the other victims' families.,,4 December 2001,For additional information see the Web site: www.themcgurksbarmassacre.com,54.60740974121845,-5.930458773122025
459,RUC Plaque (North Queen Street PSNI) - (nvtd),Person(s) commemorated,,,,"North Queen Street PSNI Station, North Queen Street, Belfast North,  County Antrim, Northern Ireland. BT15 ??",,IJ336752,,"British Security, British Police, RUC",Plaque,,Police Station,,,RUC 'D' Division,,1983,,54.607342195649046,-5.932814924458164
462,Truesdale Memorial ? - (nvtd),Person(s) commemorated,,,,"Alloa Street, Old Park, Belfast North,  County Antrim, Northern Ireland. BT14 6EL",,IJ328758,,Civilian,Mural,,Street,,,UDA/UFF,,1998,,54.612845593993846,-5.944688060390815
463,Laganside Busdentre Memorial Panel,"Twelve staff of Ulsterbus, Citybus and Belfast Corporation who were killed in the course of their duties during the conflict.
 Person(s) commemorated",18 January 1972,A shield-shaped ceramic panel comprised of individual tiles. Includes depictions of 12 buses on which are the names of the 12 men commemorated. Beside the panel is a small metal plaque containing information.,,"Laganside Buscentre, Queens Square, Belfast North,  County Antrim, Northern Ireland. BT1 3??","In a public area inside Laganside Buscentre, Belfast.",IJ343746,,Civilian,Plaque,Tiles Ceramic,"Building Interior, Bus Centre",Public Restricted (only viewable when the Bus Centre is open),,Translink,Diane McCormick,1 May 1996,,54.60023704960116,-5.923487246149648
464,Caldwell Memorial - (nvtd),Person(s) commemorated,,,,"Derrycoole Way, Rathcoole, Belfast North,  County Antrim, Northern Ireland.",,IJ340821,,"Paramilitary, Loyalist, UVF",Mural,,Street,,,UVF,,1998,,54.66874046952393,-5.924115554511029
465,McKeague Plaque ? - (nvtd),Person(s) commemorated,,,,"Iniscairn Drive, Rathcoole, Belfast North,  County Antrim, Northern Ireland.",,IJ337823,,"Paramilitary, Loyalist, UVF, RHC",Mural,,Street,,,UVF,,2001,,54.67093018769401,-5.928685609623778
466,Quail Memorial ? - (nvtd),Person(s) commemorated,,,,"Innis Park, Rathcoole, Belfast North,  County Antrim, Northern Ireland.",,IJ341830,,"Paramilitary, Loyalist, UVF",Mural,,Street,,,UVF,,,,54.67717937532191,-5.9205683043573085
467,Terry Enright Plaque,"Terry Enright who was killed by the LVF on 10 January 1998.
 Person(s) commemorated",10 January 1998,A metal plaque bearing an inscription and a relief depicting Terry Enfield.,Inscription is in two parts.,"Belfast Cathedral Centre, Talbot Street, Belfast North,  County Antrim, Northern Ireland. BT1 2LD",On pillar of boundary wall outside the Belfast Cathedral Centre next to St Anne's Cathedral.,IJ339747,,Civilian,Plaque,Metal,Street,Public Unrestricted,,The Enright Foundation,,,Terry Enright was a community worker and sportsman.  In addition to this plaque his GAA club commissioned a pair of commemorative wall murals (see Memorial ID No.: 536).,54.602597580303886,-5.928056480039238
468,Branagh Memorial - (nvtd),Person(s) commemorated,,,,"Hogarth Street, Tiger's Bay, Belfast North,  County Antrim, Northern Ireland. BT15 2JT",,IJ338760,,"Paramilitary, Loyalist, UDA, UFF",Mural,,Street,,,UDA/UFF,,2003,,54.614168795665,-5.930069190912915
470,Bacon Memorial - (nvtd),Person(s) commemorated,,,,"Upper Canning Street, Tiger's Bay, Belfast North,  County Antrim, Northern Ireland. BT15 2JD",,IJ340758,,Civilian,"Other, Wooden plate",,Building Interior ?,,,DUP,,,,54.6126346037338,-5.9270509999826375
471,Bawnmore Memorial Garden - (nvtd),"Local people and IRA members from the area who died in the conflict.
 Person(s) commemorated",,"Medium-sized memorial garden enclosed with a wall, railings, and gates. Contains an inscribed rock, two plaques attached to one wall, and a flagepole and hard landscaping.",Several inscriptions.,"Bawnmore Park, Whitewell, Belfast North,  County Antrim, Northern Ireland. BT36",343801,IJ343802,,"Civilian, and Paramilitary, Republican, IRA",Memorial Garden,"Stone Granite, brick, marble.",Street,Public Unrestricted,,,,,,54.65189192280279,-5.919303541407357
472,Joseph Craven Plaque - (nvtd),"INLA member Joseph Craven shot dead in December 1983.
 Person(s) commemorated",,Rectangular-shaped stone plaque containing inscription and two pairs of crossed flags,In Proud Memory of | etc,"Bawnmore Park, Whitewell, Belfast North,  County Antrim, Northern Ireland. BT36",343803,IJ343802,,"Paramilitary, Republican, INLA",Plaque,Stone marble.,Street,Public Unrestricted,,Irish Republican Socialist Ex-Prisoner Memorial Committee.,,8 December 2002,Plaque unveiled by Joseph's mother. Main speakers at the unveiling ceremony: Gerard Murray of Teach Na Failte Belfast Memorial Committee and Paul Little of the I.R.S.P. Ard Comhairle.,54.65189192280279,-5.919303541407357
474,UDA Memorial Garden (Schomberg Drive),"Thirteen members of 'A' Battallion, South Belfast Brigade, Ulster Defence Assocation
 Person(s) commemorated",25 July 1972,"Small memorial garden, incorporating a memorial stone, two plaques, a printed sign, and a small mural. Also some plants and hard landscaping.",Several inscriptions on the plaques and mural.,"Schomberg Drive, Sandy Row, Shaftesbury, Belfast South,  County Antrim, Northern Ireland. BT12 5JE",At the junction of Schomberg Drive and Aughrim Park; not far from the junction of Schomberg Drive and Sandy Row.,IJ333733,,"Paramilitary, Loyalist, UDA, UFF",Memorial Garden,"Stone Marble, Paint",Street,Private Restricted (gates locked at time of visit),,UDA/UFF,,1995,,54.59101646528308,-5.937556677875362
475,James Templeton Plaque,"Fianna Eireann member James Templeton; aged 15 who was shot dead by loyalists.
 Person(s) commemorated",29 August 1975,Rectangular-shaped stone plaque.,Single inscription in English and Irish.,"Ormeau Road, Lower Ormeau, Belfast South,  County Antrim, Northern Ireland. BT7??",Junction of Ormeau Road and Hatfield Street. 343727,IJ437739,,"Paramilitary, Republican, IRA",Plaque,Stone marble,Street,Public Unrestricted,,,,1 November 1998,,54.59262943956656,-5.7770036076846765
479,INLA Plaque (Friendly Street),"Four INLA members who were killed in the conflict.
 Person(s) commemorated",,"Square-shaped stone plaque, with inscription and two pairs of crossed flags.",Single inscription on plaque.,"Friendly Street, The Market, Shaftsbury, Belfast South,  County Antrim, Northern Ireland. BT7 2H??","Junction of Friendly Street and Stewart Street, The Market. 347737",IJ346738,,"Paramilitary, Republican, INLA",Plaque,Stone marble,Street,Private Restricted (viewable from the street),,Irish Republican Socialist Ex-Prisoner Memorial Committee.,,1998,,54.59414490369454,-5.918242391283517
480,IRA Mural (Friendly Way),"Seven IRA members who were killed in the conflict.
 Person(s) commemorated",,Large mural on gable wall of house; incorporates seven portraits.,,"Friendly Way, The Market, Belfast South,  County Antrim, Northern Ireland. BT7 2DU",At the junction of Friendly Way and Friendly Street. 346737,IJ345738,,"Paramilitary, Republican, IRA",Mural,Paint,Street,Public Unrestricted,,Sinn Fein,,1998,,54.59484431290018,-5.920249231854279
481,Joe McCann Plaque,"OIRA member Joe McCann who was shot dead by British Army Paratroopers.
 Person(s) commemorated",15 April 1972,Rectangular-shaped stone plaque featuring inscription and relief of McCann plus Irish flag.,Single inscription.,"Joy Street, The Market, Shaftsbury, Belfast South,  County Antrim, Northern Ireland. BT2 8LE",At the junction of Joy Street and Sussex Place. On the wall of house at the junction. 341737,IJ341739,,"Paramilitary, Republican, OIRA",Plaque,Stone Granite,Street,Public Unrestricted,,Sinn Fein,,1997,,54.5953333013712,-5.926228177869025
482,Republican Memorial (Stanfield Place),"Seven IRA members.
 Person(s) commemorated",08 December 1971,"Tall Celtic cross on large plinth in a small area at the end of the street, enclosed by low wall and railing with several plaques.",Several inscriptions in English and Irish.,"Stanfield Place, The Market, Shaftesbury, Belfast South,  County Antrim, Northern Ireland. BT7 2DT","Off Lower Stanfield Street, then at the end of Stanfield Place.",IJ344738,,"Paramilitary, Republican, IRA","Other, Cross, Celtic Cross, and Plaques","Stone Granite, marble, brick, hard landscaping",Street,Public Unrestricted (cross and plaques are in a small enclosed area),Sometime between the first visit and the second visit one of the stone plaques had been attacked and damaged.  There have also been earlier attacks on this monument.,,,29 October 2000,,54.59441086418554,-5.9211687972215135
483,Sean Graham's Bookmakers Memorial,"Five people killed in a UDA attack on a bookmakers' shop.
 Person(s) commemorated",05 February 1992,A large plaque on a wall and a small area enclosed by low railings and gates.,,"Hatfield Street, Ormeau Road, Botanic, Belfast South,  County Antrim, Northern Ireland. BT7 2FB",At the junction of Hatfield Street and Ormeau Road.,IJ343727,,Civilian,Plaque,"Stone marble, metal iron",Street,Public Unrestricted,"Some years after the unveiling of the main plaque, a small enclosure was erected on the ground below the plaque. This enclosure was unveiled on 5 February 2002, the 10th anniversary of the killings.",,,1995,Sean Graham's Bookmakers,54.58532762637929,-5.922776339936302
484,Robert Dougan Plaque and Mural,"UDA member Robert Dougan.
 Person(s) commemorated",10 February 1998,"Large mural on gable wall of building, together with a memorial plaque.",Several inscriptions on mural and plaque.,"Blythe Street, Sandy Row, Shaftsbury, Belfast South,  County Antrim, Northern Ireland. BT12 5HU",At the junction of Blythe Street and Sandy Row.,IJ334732,,"Paramilitary, Loyalist, UDA, UFF","Mural, and Plaque","Paint, Stone Marble",Street,Public Unrestricted,,UDA/UFF,,2000,,54.58976362891944,-5.936800005767646
485,UVF 1912 Memorial (Sandy Row),"South Belfast Battalion, 1912 Ulster Volunteer Force.
 Person(s) commemorated",,Three old carved pieces of sandstone which have been incorporated into the modern building.,,"Sandy Row, Shaftsbury, Belfast South,  County Antrim, Northern Ireland. BT12 5ED",Stones erected on the local community centre; close to junction of Sandy Row and Rowland Way. 334734,IJ334735,,"Paramilitary, Loyalist, UVF",Memorial Stone,"Stone Sandstone,","Building Exterior, Community Centre",Public Unrestricted,,,,,The stones were retained when the nearby Belfast and Ulster Brewing Company was demolished. The memorial is to the 'original' UVF and commemorates those who lost their lives in the First World War.,54.59188253261752,-5.936708322543965
487,Loughran Memorial ? - (nvtd),Person(s) commemorated,,,,"Divis, Falls, Belfast West,  County Antrim, Northern Ireland. BT??",,IJ329773,,"Paramilitary, Republican, INLA",Plaque,,Street ?,,,Teach na Failte (IRSP ex-prisoners Association),,2003,,54.6263023261452,-5.943467325433494
488,Lyttle Plaque  - (nvtd),Person(s) commemorated,,,,"Gransha ??, Falls Park, Belfast West,  County Antrim, Northern Ireland.",,IJ303726,,"Paramilitary, Republican, INLA",Plaque,,Street,,,Teach na Failte (IRSP ex-prisoners Association),,2002,,54.58464754123038,-5.985633642371246
490,Kearney Memorial ? - (nvtd),Person(s) commemorated,,,,"New Barnsley ??, Upper Springfield, Belfast West,  County Antrim, Northern Ireland. BT12??",,IJ300740,,"Paramilitary, Republican, INLA",Plaque,,Street ?,,,Teach na Failte (IRSP ex-prisoners Association),,2003,,54.59716632841723,-5.990122016549372
492,Livingstone Memorial  - (nvtd),Person(s) commemorated,,,,"Stewartstown Road, Dunmurray, Poleglass, Belfast West,  County Antrim, Northern Ireland. BT11 9??",,IJ280693,,Civilian,"Plaque, ?",,Street,,,,,,,54.555610624238426,-6.022805933483335
493,O'Neill Memorial ? - (nvtd),Person(s) commemorated,,,,"Whiterock Road, Whiterock, Belfast West,  County Antrim, Northern Ireland. BT12 7??",,IJ306733,,Civilian,Plaque,,Street,,,Teach na Failte (IRSP Ex-prisoners Association),,2003,,54.59124043712165,-5.979583441997959
494,McNamee and Daly Mural,"Brendan McNamee and Miriam Daly.
 Person(s) commemorated",05 June 1975,Medium-sized mural painted on wooded panels attached to a boundary wall.,,"Falls Road, Falls Park, Belfast West,  County Antrim, Northern Ireland. BT11 9AB",Junction of Falls Road and Glen Road; on the site of the former Andersonstown Barrracks.,IJ307725,,"Civilian, Political Activist, and Paramilitary, Republican, INLA",Mural,Paint Wood,Street,Public Unrestricted,,Teach na Failte / Irish Republican Socialist Ex-Prisoners Association,,,,54.58374439723685,-5.979428613704657
495,Jim McKernan Plaque,"IRA member Jim McKernan killed by the British Army on 14 September 1986.
 Person(s) commemorated",14 September 1986,Square-shaped stone plaque attached to a garden wall.,Single inscription in English with Irish text.,"Andersonstown Road, Andersonstown, Belfast West,  County Antrim, Northern Ireland. BT11 9??",Close to the junction of Andersonstown Road and Finaghy Road; on opposite side of road from the junction.,IJ297713,,"Paramilitary, Republican, IRA",Plaque,Stone Granite.,Street,Public Unrestricted,,Teach na Failte / Irish Republican Socialist Ex-Prisoners Association,,2003,Plaque is located close to the spot of the fatal incident.,54.57311737483406,-5.994677550541336
496,John Downes Plaque,"John Downes who was shot dead by the RUC who fired a plastic bullet at him from close range.
 Person(s) commemorated",12 August 1984,Small rectangular--shaped stone plaque,Single inscription.,"Andersonstown Road, Andersonstown, Belfast West,  County Antrim, Northern Ireland. BT11 9??",Close to the junction of Andersonstown Road and Riverdale Park East.  On boundary wall outside Connolly House.,IJ300713,,"Civilian, ?",Plaque,Plastic ?,Street,Public Unrestricted,,,,,,54.57344596210251,-5.990114585624814
